description, implementation type, operation type, sample count, sample size, thread count, rate (milliseconds per operation)
Distributed Trie,DynamoDB,insert,50,4,1,181.84,
Distributed Trie,DynamoDB,insert,50,8,1,267.44,
Distributed Trie,DynamoDB,insert,50,16,1,486.18,
Distributed Trie,DynamoDB,insert,50,32,1,1027.02,
Distributed Trie,DynamoDB,insert,50,64,1,1808.16,
Distributed Trie,DynamoDB,query,200,4,1,90.34,
Distributed Trie,DynamoDB,query,200,8,1,80.97,
Distributed Trie,DynamoDB,query,200,16,1,75.78,
Distributed Trie,DynamoDB,query,200,32,1,75.865,
Distributed Trie,DynamoDB,query,200,64,1,97.53,
Conventional Trie,EC2,insert,50,4,1,18.0,
Conventional Trie,EC2,insert,50,8,1,17.76,
Conventional Trie,EC2,insert,50,16,1,17.94,
Conventional Trie,EC2,insert,50,32,1,16.8,
Conventional Trie,EC2,insert,50,64,1,17.06,
Conventional Trie,EC2,query,200,4,1,17.795,
Conventional Trie,EC2,query,200,8,1,17.68,
Conventional Trie,EC2,query,200,16,1,22.625,
Conventional Trie,EC2,query,200,32,1,18.885,
Conventional Trie,EC2,query,200,64,1,17.695,
